Block 0,Block 1,Block 2,Block 3,Block 4,Block 5,Block 6,Block 7
COMPOSITION 11 (Room 122) (23 students),E-COMMERCE 12 (Room A-3) (6 students),DANCE 9 HIP HOP (15 students),ENGLISH STUDIES 12 (Room A-7) (24 students),CHEMISTRY 11 (Room 219) (24 students),EFP WRITING 10 (Room A-6) (24 students),INSTRUMENTAL MUSIC: ORCHESTRA (Room 119) (8 students),DANCE 9 Foundations (Room Studio) (9 students)
ENGLISH STUDIES 12 CHALLENGE (Room A-6) (14 students),ENGLISH LANGUAGE ARTS 9 (Room A-6) (23 students),DANCE CONDITIONING 11 (4 students),ENGLISH STUDIES 12 (Room A-6) (24 students),CHEMISTRY 11 (Room 211) (24 students),ENGLISH LANGUAGE ARTS 9 (Room A-7) (23 students),INSTRUMENTAL MUSIC: ORCHESTRA (Room 119) (5 students),ENGLISH LANGUAGE ARTS 9 (Room A-6) (23 students)
ENTREPRENEURSHIP 12 (Room 207B) (7 students),ENGINEERING 11 (3 students),DANCE CONDITIONING 12 (5 students),EXPLORATIONS IN SOCIAL STUDIES (Room A-2) (25 students),CHEMISTRY 11 (Room 211) (24 students),ENGLISH 9 FOR ELL (Room 107) (11 students),INSTRUMENTAL MUSIC: ORCHESTRA (Room 119) (4 students),ENGLISH LANGUAGE ARTS 9 CHALLE (Room A-7) (22 students)
FOOD STUDIES 11 (Room 206) (6 students),ENGINEERING 12 (6 students),DRAMA 9 (Room A-1) (7 students),EXPLORATIONS IN SOCIAL STUDIES (Room 222) (24 students),CHEMISTRY 12 (Room 225) (21 students),ENGLISH FIRST PEOPLES 12 (Room 222) (26 students),PRE-CALCULUS 11 (Room 212) (23 students),ENGLISH LANGUAGE ARTS 9 CHALLE (Room A-6) (22 students)
FOOD STUDIES 11 (Room 206) (5 students),FOUNDATIONS OF MATH AND PRE-CA (Room 106) (30 students),DRAMA 10 (Room A-1) (17 students),ADST ?  FOOD STUDIES 10 (Room 206) (28 students),CAREER LIFE EDUCATION 10 (Room A-3) (26 students),ENGLISH FIRST PEOPLES 12 Year (Room 208) (12 students),PRE-CALCULUS 11 (Room 214) (23 students),EXPLORATIONS IN SOCIAL STUDIES (Room 121) (24 students)
FOOD STUDIES 11 (Room 206) (5 students),ADST ?  FOOD STUDIES 10 (Room 206) (27 students),DRAMA 11 (Room A-1) (13 students),INSTRUMENTAL MUSIC 11: GUITAR (Room 119) (5 students),COMPARATIVE CULTURES 12 (Room 209) (24 students),ENGLISH STUDIES 12 (Room 207B) (25 students),SCIENCE 9 (Room 211) (30 students),FOUNDATIONS OF MATHEMATICS 11 (Room 205B) (30 students)
FOOD STUDIES 12 (Room 206) (18 students),FOOD STUDIES 11 (Room 206) (25 students),DRAMA 12 (Room A-1) (17 students),CONTEMPORARY INDIGENOUS STUDIE (Room 123) (23 students),COMPUTER PROGRAMMING 11 AI and (Room 203) (22 students),ENGLISH STUDIES 12 (Room A-6) (24 students),SOCIAL STUDIES 10 CHALLENGE (Room 121) (22 students),FRENCH 9 (Room 205B) (15 students)
FOOD STUDIES 12 (Room 206) (18 students),FOOD STUDIES 12 (Room 206) (19 students),ENGINEERING 11 (2 students),LIFE SCIENCES 11 (Room 226) (23 students),COMPUTER PROGRAMMING 12 AI and (Room 203) (2 students),ENGLISH STUDIES 12 CHALLENGE (Room A-7) (14 students),AUTOMOTIVE TECHNOLOGY 11 (Room 102) (10 students),FRENCH 10 (Room 205B) (8 students)
FOOD STUDIES 12 (Room 206) (17 students),INSTRUMENTAL MUSIC 12: GUITAR (Room 119) (3 students),ENGINEERING 12 (3 students),LAW STUDIES 12 (Room 208) (26 students),COMPOSITION 10 (Room 209) (19 students),ENVIRONMENTAL SCIENCE 11 (Room 219) (19 students),AUTOMOTIVE TECHNOLOGY 12 (Room 102) (20 students),CONTEMPORARY INDIGENOUS STUDIE (Room 207A) (17 students)
FRENCH 9 (Room 222) (14 students),CONTEMPORARY INDIGENOUS STUDIE (Room 123) (16 students),ENVIRONMENTAL SCIENCE 11 (Room 225) (16 students),MATHEMATICS 9 CHALLENGE (Room 106) (22 students),COMPOSITION 10 (Room A-2) (19 students),FOUNDATIONS OF MATH AND PRE-CA (Room 210) (29 students),ENGINE AND DRIVETRAIN 12 (Room 102) (2 students),LIFE SCIENCES 11 (Room 225) (23 students)
FRENCH 10 (Room 222) (8 students),LIFE SCIENCES 11 (Room 219) (21 students),ENVIRONMENTAL SCIENCE 11 (Room 223) (15 students),MATHEMATICS 9 HONOURS (Room 106) (25 students),COMPOSITION 10 Challenge (Room 207B) (20 students),FOUNDATIONS OF MATH AND PRE-CA (Room 220) (29 students),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113) (12 students),LAW STUDIES 12 (Room 205A) (25 students)
FRENCH 11 (Room 107) (24 students),LAW STUDIES 12 (Room 205A) (25 students),ENVIRONMENTAL SCIENCE 12 - CLI (Room 216) (20 students),COMPUTER SCIENCE 11 (Room 203) (26 students),COMPOSITION 10 Challenge (Room 222) (19 students),FOUNDATIONS OF MATH AND PRE-CA (Room 212) (20 students),PHOTOGRAPHY 11 (Room 113) (10 students),MATHEMATICS 9 (Room 122) (28 students)
FRENCH 12 (Room 107) (8 students),LAW STUDIES 12 (Room 205B) (24 students),FOUNDATIONS OF MATH AND PRE-CA (Room 205A) (29 students),COMPUTER SCIENCE 12 (Room 203) (6 students),COMPOSITION 11 (Room 208) (24 students),FOUNDATIONS OF MATHEMATICS 11 (Room 210) (30 students),PHOTOGRAPHY 12 (Room 113) (2 students),COMPUTER SCIENCE 11 (Room 203) (25 students)
LITERARY STUDIES 12 (Room 107) (25 students),PHYSICS 11 (Room 223) (23 students),FOUNDATIONS OF MATH AND PRE-CA (Room 220) (20 students),PHYSICS 11 (Room 223) (21 students),COMPOSITION 11 (Room 222) (24 students),FRENCH 9 (Room A-3) (14 students),WORKPLACE MATHEMATICS 11 (Room 214) (16 students),COMPUTER SCIENCE 12 (Room 203) (7 students)
MARKETING AND PROMOTION 11 (Room 207B) (11 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (16 students),FOUNDATIONS OF MATH AND PRE-CA (Room 106) (19 students),PHYSICS 11 (Room 223) (21 students),COMPOSITION 11 (Room 207A) (23 students),FRENCH 10 (Room A-3) (8 students),LEARNING STRATEGIES 9 LD (Room 222) (1 students),OUTDOOR EDUCATION 11 (Room Gym) (8 students)
PHYSICS 11 (Room 223) (23 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (10 students),INDEPENDENT DIRECTED STUDIES 1 (4 students),PHYSICS 12 (Room 219) (24 students),3D ANIMATION 12 (Room 114) (10 students),FRENCH 11 (Room 209) (22 students),LEARNING STRATEGIES 9 LD (Room 207A) (1 students),OUTDOOR EDUCATION 12 (Room Gym) (9 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (21 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (13 students),LIFE SCIENCES 11 (Room 223) (22 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (4 students),DANCE 9 Choreography Linear (Room Studio) (12 students),FRENCH 12 (Room 209) (8 students),LEARNING STRATEGIES 9 LD (Room 205B) (1 students),PHYSICAL GEOGRAPHY 12 (Room 121) (15 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (10 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (15 students),MATHEMATICS 9 (Room 220) (28 students),SCIENCE 10 (Room 211) (28 students),DANCE 9 Company: Platform 61 L (Room Studio) (0 students),CONTEMPORARY INDIGENOUS STUDIE (Room 207A) (22 students),LEARNING STRATEGIES 9 LD (Room A-3) (1 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (8 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (10 students),PRE-CALCULUS 12 (Room 106) (28 students),MATHEMATICS 9 CHALLENGE (Room 212) (21 students),SOCIAL JUSTICE 12 (Room 209) (24 students),EFP WRITING 10 (Room 205A) (24 students),LIFE SCIENCES 11 (Room 219) (21 students),LEARNING STRATEGIES 9 LD (Room 122) (1 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (8 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (13 students),SPANISH 10 (Room 209) (11 students),COMPUTER SCIENCE 11 (Room 203) (25 students),SOCIAL STUDIES 9 (Room 207B) (18 students),EFP WRITING 10 (Room 123) (24 students),LITERARY STUDIES 11 Challenge (Room 205A) (12 students),LEARNING STRATEGIES 9 LD (Room 205A) (1 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (13 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (13 students),SPANISH 11 (Room 209) (8 students),COMPUTER SCIENCE 12 (Room 203) (6 students),SOCIAL STUDIES 9 (Room 205B) (18 students),EFP WRITING 10 (Room A-6) (23 students),MATHEMATICS 9 (Room 220) (28 students),LEARNING STRATEGIES 9 LD (Room 205B) (1 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (14 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (13 students),SPANISH 12 (Room 209) (5 students),ADST ? MEDIA DESIGN 10 (Room 114) (9 students),SOCIAL STUDIES 9 (Room 207B) (17 students),ENGLISH LANGUAGE ARTS 9 (Room A-6) (24 students),ADST ? MEDIA DESIGN 10 (Room 114) (6 students),LEARNING STRATEGIES 9 LD (Room 107) (0 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (9 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (12 students),SPOKEN LANGUAGE 11 (Room 205B) (2 students),MEDIA DESIGN 11 (Room 114) (5 students),SOCIAL STUDIES 9 (Room 207A) (17 students),ENGLISH LANGUAGE ARTS 9 (Room 123) (23 students),MEDIA DESIGN 11 (Room 114) (6 students),LEARNING STRATEGIES 9 LD (Room 209) (0 students),PRE-CALCULUS 11 (Room 106) (23 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (15 students),SOCIAL STUDIES 9 (Room 121) (24 students),MEDIA DESIGN 12 (Room 114) (4 students),SOCIAL STUDIES 9 (Room 207A) (17 students),ENGINEERING 11 (1 students),MEDIA DESIGN 12 (Room 114) (5 students),LEARNING STRATEGIES 9 LD LINEA (Room 107) (2 students),PRE-CALCULUS 11 (Room 205A) (22 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (14 students),SOCIAL STUDIES 10 (Room 121) (30 students),PHYSICS 11 (Room 226) (21 students),SOCIAL STUDIES 9 CHALLENGE (Room 209) (10 students),ENGINEERING 11 (0 students),PHYSICS 11 (Room 216) (23 students),STRINGS 9 LINEAR (Room 119) (13 students),PRE-CALCULUS 11 (Room 122) (22 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (12 students),ADST ?  DRAFTING 10 (Room 105) (4 students),PHYSICS 12 (Room 227) (16 students),SOCIAL STUDIES 10 (Room 205B) (15 students),ENGINEERING 12 (4 students),PHYSICS 12 (Room 225) (16 students),LEARNING STRATEGIES 10 (Room 222) (1 students),PRE-CALCULUS 12 (Room 221) (25 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (12 students),ADST ?  DRAFTING 10 (Room 105) (4 students),PHYSICS 12 (Room 219) (16 students),SOCIAL STUDIES 10 (Room 121) (15 students),ENGINEERING 12 (4 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (14 students),LEARNING STRATEGIES 10 (Room 207A) (1 students),PRE-CALCULUS 12 (Room 106) (24 students)
PHYSICAL AND HEALTH EDUCATION (Room Gym) (12 students),DRAFTING 11 (Room 105) (2 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (5 students),SOCIAL STUDIES 10 (Room 205A) (15 students),ENGLISH STUDIES 12 (Room 122) (25 students),PHYSICAL AND HEALTH EDUCATION (Room Gym) (12 students),LEARNING STRATEGIES 10 (Room 205B) (1 students),SCIENCE 10 (Room 216) (25 students)
PRE-CALCULUS 12 (Room 106) (29 students),DRAFTING 11 (Room 105) (1 students),SCIENCE 9 (Room 211) (30 students),SOCIAL STUDIES 10 (Room 121) (15 students),ADST ?  FOOD STUDIES 10 (Room 206) (20 students),PRE-CALCULUS 11 (Room 106) (24 students),LEARNING STRATEGIES 10 (Room A-3) (1 students),SCIENCE 10 (Room 225) (25 students)
SCIENCE 9 (Room 216) (23 students),DRAFTING 12 (Room 105) (2 students),SCIENCE 10 (Room 211) (25 students),SOCIAL STUDIES 10 (Room 123) (14 students),INDEPENDENT DIRECTED STUDIES 1 (Room 205B) (4 students),PRE-CALCULUS 11 HONOURS (Room 106) (3 students),LEARNING STRATEGIES 10 (Room 122) (1 students),SCIENCE 10: CHALLENGE (Room 211) (12 students)
SCIENCE 9 (Room 225) (22 students),DRAFTING 12 (Room 105) (2 students),ADST ?  DRAFTING 10 (Room 105) (3 students),SOCIAL STUDIES 10 (Room A-2) (14 students),LITERARY STUDIES 11 Challenge (Room 205A) (11 students),PRE-CALCULUS 12 (Room 207B) (18 students),LEARNING STRATEGIES 10 (Room 205A) (1 students),SCIENCE 10: CHALLENGE (Room 211) (11 students)
SCIENCE 10 (Room 226) (25 students),ADST-Technology Explorations 1 (10 students),DRAFTING 11 (Room 105) (1 students),AUTOMOTIVE TECHNOLOGY 11 (Room 102) (8 students),MATHEMATICS 9 (Room 210) (28 students),SCIENCE 9 (Room 227) (19 students),LEARNING STRATEGIES 10 (Room 205B) (1 students),SPANISH 9 (Room A-2) (12 students)
SOCIAL STUDIES 9 CHALLENGE (Room 123) (18 students),VISUAL ARTS: PHOTOGRAPHY 10 (Room 113) (10 students),DRAFTING 12 (Room 105) (2 students),AUTOMOTIVE TECHNOLOGY 12 (Room 102) (15 students),INSTRUMENTAL MUSIC: GUITAR 10 (Room 119) (1 students),SCIENCE 9 (Room 216) (19 students),LEARNING STRATEGIES 10 (Room 107) (0 students),TEXTILES 10 (Room 206) (6 students)
ADST ?  DRAFTING 10 (Room 105) (4 students),PHOTOGRAPHY 11 (Room 113) (12 students),ADST-Technology Explorations 1 (7 students),ENGINE AND DRIVETRAIN 12 (Room 102) (0 students),PRE-CALCULUS 12 (Room 210) (24 students),SCIENCE 9: CHALLENGE (Room 211) (21 students),LEARNING STRATEGIES 10 (Room 209) (0 students),TEXTILES 10 (Room 206) (5 students)
DRAFTING 11 (Room 105) (2 students),PHOTOGRAPHY 12 (Room 113) (1 students),ADST ?  POWER TECHNOLOGY 10 (14 students),ADST ?  ELECTRONICS AND ROBOTI (Room 104) (3 students),PRE-CALCULUS 12 HONOURS (Room 106) (10 students),SCIENCE 10 (Room 211) (24 students),LEARNING STRATEGIES 11 (Room 222) (1 students),TEXTILES 11 (Room 206) (5 students)
DRAFTING 12 (Room 105) (4 students),CAMOSUN COL BUSINESS 12H (Room A-3) (1 students),TEXTILES 10 (Room 206) (7 students),ADST-Technology Explorations 1 (4 students),SCIENCE 9: CHALLENGE (Room 216) (21 students),SOCIAL JUSTICE 12 (Room 122) (11 students),LEARNING STRATEGIES 11 (Room 207A) (1 students),TEXTILES 11 (Room 206) (5 students)
ADST ?  POWER TECHNOLOGY 10 (13 students),JAZZ BAND 9 LINEAR (Room 119) (9 students),TEXTILES 11 (Room 206) (8 students),ROBOTICS 11 (Room 104) (0 students),SCIENCE 10 (Room 216) (18 students),SPANISH 11 (Room 123) (7 students),LEARNING STRATEGIES 11 (Room 205B) (1 students),TEXTILES 12 (Room 206) (3 students)
WORKPLACE MATHEMATICS 10 (Room 106) (7 students),LEARNING STRATEGIES 9 LD (Room 123) (1 students),TEXTILES 12 (Room 206) (8 students),ROBOTICS 12 (Room 104) (3 students),SPANISH 9 (Room 208) (9 students),SPANISH 12 (Room 123) (1 students),LEARNING STRATEGIES 11 (Room A-3) (1 students),TEXTILES 12 (Room 206) (3 students)
CONCERT BAND 9 Linear (Room 119) (6 students),LEARNING STRATEGIES 9 LD (Room 207B) (0 students),VISUAL ARTS 9 (9 students),TEXTILES 10 (Room 206) (4 students),SOCIAL STUDIES 9 (Room 207A) (18 students),SOCIAL STUDIES 10 CHALLENGE (Room 121) (21 students),LEARNING STRATEGIES 11 (Room 122) (1 students),VISUAL ARTS 9 (11 students)
LEARNING STRATEGIES 9 LD (Room 207B) (0 students),LEARNING STRATEGIES 9 LD LINEA (Room 222) (1 students),VISUAL ARTS 9 (8 students),TEXTILES 11 (Room 206) (5 students),SOCIAL STUDIES 10 (Room 121) (3 students),AUTOMOTIVE TECHNOLOGY 11 (Room 102) (4 students),LEARNING STRATEGIES 11 (Room 205A) (0 students),VISUAL ARTS: ART STUDIO 10 (3 students)
LEARNING STRATEGIES 9 LD (Room 205B) (0 students),COMMUNITY LEADERSHIP 10 Linear (Room 207B) (2 students),VISUAL ARTS: ART STUDIO 10 (3 students),TEXTILES 12 (Room 206) (6 students),ADST ?  ELECTRONICS AND ROBOTI (Room 104) (0 students),AUTOMOTIVE TECHNOLOGY 12 (Room 102) (4 students),LEARNING STRATEGIES 11 (Room 205B) (0 students),ART STUDIO 11 (3 students)
TECH ED 9: MECHANICS LD (3 students),COMMUNITY LEADERSHIP 10 (Room 208) (3 students),VISUAL ARTS: ART STUDIO 10 (3 students),Information and Communications (Room 203) (4 students),ADST-Technology Explorations 1 (0 students),ENGINE AND DRIVETRAIN 12 (Room 102) (0 students),LEARNING STRATEGIES 11 (Room 107) (0 students),ART STUDIO 12 (3 students)
LEARNING STRATEGIES 10 (Room 207B) (0 students),COMMUNITY LEADERSHIP 11 Linear (Room 207B) (10 students),ART STUDIO 11 (2 students),Information and Communications (Room 114) (3 students),ADST-Technology Explorations 1 (0 students),CAMOSUN COL BUSINESS 12H (Room 207A) (0 students),LEARNING STRATEGIES 11 (Room 209) (0 students),WORKPLACE MATHEMATICS 11 (Room 123) (11 students)
LEARNING STRATEGIES 10 (Room 205B) (0 students),COMMUNITY LEADERSHIP 11 (Room 208) (3 students),ART STUDIO 11 (2 students),Information and Communications (Room 114) (3 students),ROBOTICS 11 (Room 104) (1 students),LEARNING STRATEGIES 9 LD (Room A-2) (0 students),LEARNING STRATEGIES 12 (Room 222) (1 students),LEARNING STRATEGIES 9 LD (Room 123) (1 students)
LEARNING STRATEGIES 10 LINEAR (Room 207A) (1 students),COMMUNITY LEADERSHIP 12 Linear (Room 207B) (7 students),ART STUDIO 12 (4 students),WORK EXPERIENCE 12A (Room 107) (0 students),ROBOTICS 12 (Room 104) (1 students),LEARNING STRATEGIES 9 LD (Room 208) (0 students),LEARNING STRATEGIES 12 (Room 207A) (1 students),LEARNING STRATEGIES 9 LD (Room 208) (0 students)
LEARNING STRATEGIES 10 LINEAR (Room 205A) (0 students),COMMUNITY LEADERSHIP 12 (Room 208) (3 students),ART STUDIO 12 (3 students),WORK EXPERIENCE 12A (Room 122) (0 students),Information and Communications (Room 114) (7 students),LEARNING STRATEGIES 10 (Room A-2) (1 students),LEARNING STRATEGIES 12 (Room 205B) (1 students),LEARNING STRATEGIES 10 (Room 123) (0 students)
LEARNING STRATEGIES 10 LINEAR (Room 205B) (0 students),LEARNING STRATEGIES 10 (Room 123) (1 students),WORK EXPERIENCE 12A (Room 107) (0 students),20th CENTURY WORLD HISTORY 12 (Room 122) (14 students),20th CENTURY WORLD HISTORY 12 (Room 121) (12 students),LEARNING STRATEGIES 10 (Room 208) (0 students),LEARNING STRATEGIES 12 (Room A-3) (1 students),LEARNING STRATEGIES 10 (Room 208) (0 students)
LEARNING STRATEGIES 11 (Room 207B) (0 students),LEARNING STRATEGIES 10 (Room 207B) (0 students),LEARNING STRATEGIES 9 LD LINEA (Room 107) (1 students),ADST ?  WOODWORK 10 (Room 101) (1 students),ADST ?  WOODWORK 10 (Room 101) (0 students),PEER TUTORING 10 LINEAR (Room 123) (0 students),LEARNING STRATEGIES 12 (Room 122) (1 students),LEARNING STRATEGIES 10 LINEAR (Room 107) (1 students)
LEARNING STRATEGIES 11 (Room 205B) (0 students),LEARNING STRATEGIES 10 LINEAR (Room 107) (1 students),TECH ED 9: MECHANICS LD (8 students),WOODWORK 11 (Room 101) (2 students),WOODWORK 11 (Room 101) (4 students),LEARNING STRATEGIES 11 (Room A-2) (1 students),LEARNING STRATEGIES 12 (Room 205A) (1 students),LEARNING STRATEGIES 11 (Room 123) (1 students)
LEARNING STRATEGIES 11 (Room 123) (2 students),LEARNING STRATEGIES 11 (Room 123) (1 students),SCHOLARSHIP PREPARATION 12 LIN (Room A-3) (10 students),WOODWORK 12 (Room 101) (1 students),WOODWORK 12 (Room 101) (4 students),LEARNING STRATEGIES 11 (Room 208) (0 students),LEARNING STRATEGIES 12 (Room 205B) (1 students),LEARNING STRATEGIES 11 (Room 208) (0 students)
LEARNING STRATEGIES 11 (Room A-3) (1 students),LEARNING STRATEGIES 11 (Room 207B) (0 students),YOGA FOR MINDFULNESS 10 (Room Gym) (2 students),LEARNING STRATEGIES 11 (Room 205A) (1 students),CONCERT BAND 9 - Guitar (Room 119) (1 students),PEER TUTORING 11 LINEAR (Room 123) (1 students),LEARNING STRATEGIES 12 (Room 107) (1 students),LEARNING STRATEGIES 11 (Room 222) (0 students)
LEARNING STRATEGIES 12 (Room 207B) (2 students),LEARNING STRATEGIES 12 (Room 123) (1 students),YOGA FOR MINDFULNESS 11 (Room Gym) (3 students),LEARNING STRATEGIES 11 (Room A-3) (1 students),LEARNING STRATEGIES 9 LD LINEA (Room 107) (1 students),LEARNING STRATEGIES 12 (Room A-2) (1 students),LEARNING STRATEGIES 12 (Room 209) (0 students),LEARNING STRATEGIES 12 (Room 123) (2 students)
LEARNING STRATEGIES 12 (Room 205B) (2 students),LEARNING STRATEGIES 12 (Room 207B) (1 students),YOGA FOR MINDFULNESS 12 (Room Gym) (4 students),LEARNING STRATEGIES 12 LINEAR (Room 107) (0 students),LEARNING STRATEGIES 12 LINEAR (Room 122) (0 students),LEARNING STRATEGIES 12 (Room 208) (0 students),CROSS TRAINING 10 (Room Gym) (15 students),LEARNING STRATEGIES 12 (Room 208) (1 students)
CRIMINOLOGY 12 (Room 208) (25 students),ELL Academic Literacy 11 (Room 205B) (1 students),PSYCHOLOGY 11 (Room A-3) (14 students),CRIMINOLOGY 12 (Room 222) (17 students),BEGINNERS ELL 10 (Room A-2) (0 students),LEARNING STRATEGIES 12 LINEAR (Room 205A) (0 students),CROSS TRAINING 11 (Room Gym) (3 students),CRIMINOLOGY 12 (Room 107) (12 students)
ATHLETIC LEADERSHIP 11 Linear (Room A-2) (5 students),PSYCHOLOGY 11 (Room 209) (16 students),PSYCHOLOGY 11 (Room 208) (14 students),ATHLETIC LEADERSHIP 12 Linear (Room A-3) (2 students),ATHLETIC LEADERSHIP 10 U16 (Room 205B) (0 students),PEER TUTORING 12 LINEAR (Room 123) (2 students),CROSS TRAINING 12 (Room Gym) (4 students),OUTDOOR EDUCATION 10 (Room Gym) (2 students)
